% Model:              test_case_2.mph
% Version:            COMSOL 5.5.0.359
% Date:               May 13 2020, 14:38
% Dimension:          1
% Nodes:              1000
% Expressions:        1
% Description:        Line graph
% s                       Height
0.05005005005005004       2.4329949979994087E-5
0.054054054054053946      2.4308792571352947E-5
0.05805805805805786       2.4292120711368192E-5
0.06206206206206222       2.4279943640067798E-5
0.06606606606606613       2.4272268122378308E-5
0.07007007007007005       2.426909842938017E-5
0.07407407407407396       2.4133621446577135E-5
0.07807807807807787       2.408107284155872E-5
0.08208208208208223       2.4032528769960956E-5
0.08608608608608614       2.406861997086771E-5
0.09009009009009006       2.4013161761992295E-5
0.09409409409409399       2.396254186557209E-5
0.09809809809809789       2.3916791002496728E-5
0.10210210210210224       2.3875937162780658E-5
0.10610610610610616       2.3840005522044667E-5
0.11011011011011007       2.3809018365470655E-5
0.11411411411411397       2.37359125034438E-5
0.1181181181181179        2.3661569032956103E-5
0.12212212212212226       2.359164025984565E-5
0.12612612612612617       2.3526165550658903E-5
0.13013013013013008       2.3465182189841636E-5
0.134134134134134         2.340872527939803E-5
0.13813813813813833       2.335682764265319E-5
0.14214214214214227       2.3205459710045186E-5
0.14614614614614616       2.326086070613482E-5
0.1501501501501501        2.3154191075868055E-5
0.15415415415415398       2.3052440489245284E-5
0.15815815815815837       2.2972731432572787E-5
0.16216216216216228       2.2901442650341877E-5
0.1661661661661662        2.2834008843192626E-5
0.1701701701701701        2.2770464260208247E-5
0.17417417417417402       2.2710841547379157E-5
0.17817817817817838       2.2655171668853567E-5
0.1821821821821823        2.2517357733149938E-5
0.1861861861861862        2.2422717331238422E-5
0.19019019019019015       2.2331836257093148E-5
0.19419419419419404       2.224476058701556E-5
0.1981981981981984        2.2161535176893405E-5
0.2022022022022023        2.20298418174024E-5
0.20620620620620622       2.1939356520975043E-5
0.21021021021021014       2.185335421791806E-5
0.21421421421421405       2.1845487491323677E-5
0.2182182182182184        2.171874526702657E-5
0.22222222222222235       2.161050425848033E-5
0.22622622622622623       2.151428867802914E-5
0.23023023023023012       2.142131057218383E-5
0.2342342342342341        2.1331612274531578E-5
0.23823823823823842       2.1245235327586845E-5
0.24224224224224233       2.116222040124217E-5
0.24624624624624625       2.106171771327029E-5
0.25025025025025016       2.0942952558253243E-5
0.2542542542542541        2.082750800127144E-5
0.25825825825825843       2.0715439558233623E-5
0.26226226226226235       2.0606802311388735E-5
0.26626626626626626       2.0501650806032796E-5
0.2702702702702702        2.040003894374656E-5
0.2742742742742741        2.030201987247255E-5
0.27827827827827845       2.0210374519478484E-5
0.28228228228228236       2.002834836248672E-5
0.2862862862862863        1.9917552245049196E-5
0.2902902902902902        1.9809379420512545E-5
0.29429429429429405       1.973416468627085E-5
0.29829829829829846       1.9614014168481935E-5
0.3023023023023024        1.9496723895794525E-5
0.3063063063063063        1.938234579371585E-5
0.3103103103103102        1.9270931715835215E-5
0.3143143143143141        1.916253336217535E-5
0.31831831831831847       1.910839446841875E-5
0.3223223223223224        1.8966599672318842E-5
0.3263263263263263        1.8851463372428667E-5
0.33033033033033016       1.8734687388600434E-5
0.3343343343343341        1.8620091024121452E-5
0.3383383383383385        1.8507714766441693E-5
0.3423423423423424        1.839759929819039E-5
0.3463463463463463        1.828978545333447E-5
0.3503503503503502        1.8184314170533085E-5
0.35435435435435414       1.8081896507874317E-5
0.3583583583583585        1.7953608750029107E-5
0.3623623623623624        1.7827513799858112E-5
0.3663663663663663        1.770365851248013E-5
0.37037037037037024       1.7582090219204752E-5
0.3743743743743742        1.7462856683067912E-5
0.3783783783783785        1.734365908493275E-5
0.3823823823823824        1.724143105286513E-5
0.38638638638638634       1.7140982492344695E-5
0.3903903903903902        1.704234486832322E-5
0.3943943943943946        1.689284259997158E-5
0.3983983983983985        1.6779931604170197E-5
0.40240240240240244       1.6668672015500813E-5
0.40640640640640635       1.6559097121116066E-5
0.41041041041041026       1.6451240584201326E-5
0.4144144144144146        1.634513642153171E-5
0.41841841841841854       1.6240818978863164E-5
0.4224224224224224        1.608347858924306E-5
0.42642642642642636       1.5966703271480618E-5
0.4304304304304303        1.584339415228551E-5
0.43443443443443464       1.573525867953478E-5
0.43843843843843855       1.5627928899911124E-5
0.4424424424424424        1.5522138233849807E-5
0.4464464464464463        1.541791836345187E-5
0.45045045045045023       1.5315301356311814E-5
0.45445445445445465       1.5214319645271342E-5
0.45845845845845856       1.5100898285108784E-5
0.4624624624624624        1.5008983703654362E-5
0.4664664664664664        1.4857531185475388E-5
0.47047047047047036       1.4751471480925434E-5
0.47447447447447466       1.4646540625101803E-5
0.4784784784784786        1.4542763053078494E-5
0.4824824824824825        1.4440163629898287E-5
0.4864864864864864        1.4338767645914029E-5
0.4904904904904903        1.42386008109578E-5
0.4944944944944947        1.4139689247261803E-5
0.49849849849849864       1.4042059481054587E-5
0.5025025025025025        1.394573843275583E-5
0.5065065065065064        1.3830495020038794E-5
0.5105105105105103        1.3743087659745116E-5
0.5145145145145147        1.3598242699297512E-5
0.5185185185185186        1.349970629143381E-5
0.5225225225225225        1.3402026467366283E-5
0.5265265265265264        1.3305222092848563E-5
